Community District,Community Trust
Astoria(Q01),77.40%
Battery Park/Tribeca(M01),81.20%
Bay Ridge(K10),81.80%
Bayside(Q11),77.70%
Bedford Park(B07),68.20%
Bedford Stuyvesant(K03),81.40%
Bensonhurst(K11),74.50%
Borough Park(K12),81.50%
Brownsville(K16),72.40%
Bushwick(K04),70.90%
Canarsie(K18),79.00%
Central Harlem(M10),80.90%
Chelsea/Clinton(M04),72.90%
Concourse/Highbridge(B04),71.70%
Coney Island(K13),71.30%
Crown Heights North(K08),74.50%
Crown Heights South(K09),82.40%
East Flatbush(K17),73.40%
East Harlem(M11),74.40%
East New York(K05),72.90%
East Tremont(B06),65.70%
Elmhurst/Corona(Q04),73.20%
Flatbush/Midwood(K14),80.10%
Flushing(Q07),71.40%
Fort Greene/Brooklyn Hts(K02),84.30%
Fresh Meadows/Briarwood(Q08),73.20%
Greenwich Village(M02),81.20%
Howard Beach(Q10),81.30%
Hunts Point(B02),67.20%
Jackson Heights(Q03),76.60%
Jamaica/St. Albans(Q12),78.30%
Lower East Side(M03),71.70%
Manhattanville(M09),76.70%
Midtown Business District(M05),72.90%
Morrisania(B03),65.70%
Mott Haven(B01),67.20%
Murray Hill/Stuyvesant(M06),78.90%
Park Slope(K06),81.50%
Pelham Parkway(B11),70.90%
Queens Village(Q13),84.40%
Rego Park/Forest Hills(Q06),78.00%
Ridgewood/Glendale(Q05),83.60%
Riverdale(B08),86.60%
Sheepshead Bay(K15),75.50%
South Beach(S02),83.00%
St. George(S01),79.30%
Sunnyside/Woodside(Q02),83.60%
Sunset Park(K07),72.20%
The Rockaways(Q14),82.40%
Throgs Neck(B10),81.70%
Tottenville(S03),86.40%
Unionport/Soundview(B09),75.70%
University Heights(B05),66.00%
Upper East Side(M08),80.80%
Upper West Side(M07),84.80%
Washington Heights(M12),75.20%
Williamsbridge(B12),74.80%
Williamsburg/Greenpoint(K01),78.10%
Woodhaven(Q09),78.10%