Community District,Black,White,Hispanic or Latino,Asian and Pacific Islander,Combination or Another Race,Native American
Astoria(Q01),"9,817","82,606","42,860","23,570","7,492",357
Battery Park/Tribeca(M01),"1,778","44,115","5,178","10,371","2,633",23
Bay Ridge(K10),"3,746","68,608","22,588","31,137","3,276",188
Bayside(Q11),"2,961","46,680","17,567","55,727","3,338",472
Bedford Park(B07),"17,217","7,293","101,203","7,772","2,731",638
Bedford Stuyvesant(K03),"72,531","48,580","28,771","5,011","6,329",128
Bensonhurst(K11),"2,299","77,895","31,444","77,714","7,464",624
Borough Park(K12),"3,996","113,915","16,936","22,695","4,841",67
Brownsville(K16),"83,409","4,790","28,157","1,652","4,420",190
Bushwick(K04),"21,914","30,311","70,231","7,133","4,909",189
Canarsie(K18),"126,425","44,235","17,752","11,215","8,952",341
Central Harlem(M10),"73,007","21,959","32,094","5,104","5,416",124
Chelsea/Clinton(M04),"5,683","63,070","18,207","17,590","4,525",89
Concourse/Highbridge(B04),"44,905","4,376","93,654","1,805","3,051",293
Coney Island(K13),"12,459","65,526","19,802","15,991","5,180",163
Crown Heights North(K08),"72,881","38,598","17,693","5,330","7,250",157
Crown Heights South(K09),"66,122","27,236","10,859","2,388","4,466",17
East Flatbush(K17),"114,661","4,816","9,289","2,227","7,232",288
East Harlem(M11),"36,736","17,292","54,335","10,341","3,885",78
East New York(K05),"86,971","6,989","65,471","8,868","5,944",95
East Tremont(B06),"30,069","3,235","52,846",775,"1,752",123
Elmhurst/Corona(Q04),"7,062","9,243","80,564","49,115","3,227",393
Flatbush/Midwood(K14),"49,581","66,612","23,294","18,300","6,733",8
Flushing(Q07),"4,354","64,048","45,209","134,455","5,038",593
Fort Greene/Brooklyn Hts(K02),"31,820","72,674","21,383","15,555","8,969",324
Fresh Meadows/Briarwood(Q08),"22,517","49,324","32,951","53,826","8,708",331
Greenwich Village(M02),"2,624","65,122","7,643","15,310","3,886",34
Howard Beach(Q10),"19,216","28,940","36,936","37,351","20,937",903
Hunts Point(B02),"15,056","1,703","40,043",321,692,99
Jackson Heights(Q03),"9,472","18,924","111,048","31,721","3,813",116
Jamaica/St. Albans(Q12),"147,074","5,676","40,826","36,887","22,753","1,622"
Lower East Side(M03),"13,188","55,381","37,801","46,279","5,905",504
Manhattanville(M09),"28,666","37,450","50,902","12,036","5,114",319
Midtown Business District(M05),"2,844","31,566","9,112","8,803","2,265",44
Morrisania(B03),"28,802","3,098","50,620",742,"1,678",117
Mott Haven(B01),"26,367","2,982","70,127",563,"1,213",173
Murray Hill/Stuyvesant(M06),"6,638","102,925","13,837","23,135","6,084",30
Park Slope(K06),"9,052","78,266","19,217","9,964","6,882",104
Pelham Parkway(B11),"28,338","25,881","60,451","10,623","4,061",190
Queens Village(Q13),"113,882","20,100","28,608","37,942","13,441",792
Rego Park/Forest Hills(Q06),"3,970","56,113","19,758","36,846","6,099",8
Ridgewood/Glendale(Q05),"2,695","92,803","73,640","17,356","4,421",105
Riverdale(B08),"13,569","34,957","56,020","4,428","3,500",195
Sheepshead Bay(K15),"6,900","102,816","14,333","28,302","5,780",156
South Beach(S02),"6,085","88,804","20,594","24,526","3,545",280
St. George(S01),"37,474","68,029","51,124","17,464","5,439",191
Sunnyside/Woodside(Q02),"2,422","40,045","43,365","53,699","4,650",76
Sunset Park(K07),"4,677","36,082","53,619","45,424","4,156",238
The Rockaways(Q14),"46,747","47,185","31,652","5,346","4,989",39
Throgs Neck(B10),"34,357","31,358","51,154","5,257","3,663",67
Tottenville(S03),"1,290","137,305","19,239","9,111","3,165",201
Unionport/Soundview(B09),"49,681","5,011","108,249","16,797","6,483",653
University Heights(B05),"36,378","2,338","98,041","2,182","3,535",218
Upper East Side(M08),"6,014","162,111","19,580","23,037","6,537",133
Upper West Side(M07),"9,735","136,736","28,763","19,321","8,711",9
Washington Heights(M12),"15,671","42,149","150,605","6,646","5,676",411
Williamsbridge(B12),"93,344","9,619","41,994","3,102","7,200",484
Williamsburg/Greenpoint(K01),"7,137","108,385","38,688","10,916","7,313",91
Woodhaven(Q09),"10,106","26,665","63,115","39,369","12,624",615