Community District,Unemployment Rate
Astoria(Q01),13.10%
Battery Park/Tribeca(M01),2.20%
Bay Ridge(K10),11.50%
Bayside(Q11),8.60%
Bedford Park(B07),17.00%
Bedford Stuyvesant(K03),10.70%
Bensonhurst(K11),11.70%
Borough Park(K12),13.20%
Brownsville(K16),18.00%
Bushwick(K04),10.00%
Canarsie(K18),10.20%
Central Harlem(M10),15.90%
Chelsea/Clinton(M04),6.30%
Concourse/Highbridge(B04),16.50%
Coney Island(K13),10.60%
Crown Heights North(K08),10.50%
Crown Heights South(K09),13.20%
East Flatbush(K17),12.80%
East Harlem(M11),12.20%
East New York(K05),12.80%
East Tremont(B06),10.00%
Elmhurst/Corona(Q04),9.90%
Flatbush/Midwood(K14),8.40%
Flushing(Q07),12.80%
Fort Greene/Brooklyn Hts(K02),8.60%
Fresh Meadows/Briarwood(Q08),12.40%
Greenwich Village(M02),3.20%
Howard Beach(Q10),15.30%
Hunts Point(B02),6.90%
Jackson Heights(Q03),11.60%
Jamaica/St. Albans(Q12),14.80%
Lower East Side(M03),10.10%
Manhattanville(M09),14.80%
Midtown Business District(M05),3.20%
Morrisania(B03),9.50%
Mott Haven(B01),12.00%
Murray Hill/Stuyvesant(M06),5.00%
Park Slope(K06),8.80%
Pelham Parkway(B11),14.50%
Queens Village(Q13),10.20%
Rego Park/Forest Hills(Q06),8.90%
Ridgewood/Glendale(Q05),11.40%
Riverdale(B08),12.80%
Sheepshead Bay(K15),10.50%
South Beach(S02),8.00%
St. George(S01),7.90%
Sunnyside/Woodside(Q02),8.30%
Sunset Park(K07),12.10%
The Rockaways(Q14),14.20%
Throgs Neck(B10),9.50%
Tottenville(S03),6.80%
Unionport/Soundview(B09),15.40%
University Heights(B05),18.90%
Upper East Side(M08),6.20%
Upper West Side(M07),11.50%
Washington Heights(M12),18.60%
Williamsbridge(B12),16.20%
Williamsburg/Greenpoint(K01),11.00%
Woodhaven(Q09),11.10%